layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
25,1,10,384,236,0.6145833333333334,0.1261137316561845,0.5649972706538479,4.1201526854845843e-07,2.2708017090991372e-06,True
25,1,28,5529,3033,0.5485621269669018,0.060092525289752896,0.5354156132970619,7.4865301107466405e-22,1.097517713697274e-20,True
25,1,51,2693,1544,0.5733382844411437,0.08486868276399478,0.5545664743952724,5.566537838036905e-20,7.144960567222481e-19,True
25,1,170,5260,2944,0.5596958174904944,0.07122621581334548,0.5462413055700042,2.115226657089384e-28,4.2718703396322664e-27,True
25,1,205,5239,3159,0.6029776674937966,0.11450806581664769,0.5896576433358198,3.530443021705458e-70,2.0391838893370723e-68,True
25,1,210,6091,3667,0.6020357905105894,0.11356618883344055,0.5896825498203967,1.1735849677895153e-81,9.160306451286811e-80,True
25,2,1,1138,769,0.6757469244288224,0.18727732275167358,0.6479981181326205,2.7014924421411454e-38,7.4303906408605975e-37,True
25,2,6,705,472,0.6695035460992907,0.18103394442214188,0.6339436224129689,1.080375753746813e-22,1.723826064541876e-21,True
25,2,9,396,228,0.5757575757575758,0.08728797408042693,0.5265803593743037,0.0002871128580469205,0.0011913533535050378,True
25,2,33,938,568,0.605543710021322,0.11707410834417314,0.5738969736802237,2.3167701433118443e-13,1.9972633354879424e-12,True
25,2,37,1260,800,0.6349206349206349,0.14645103324348602,0.6079635583509151,2.0268049044442192e-26,3.800917249373315e-25,True
25,2,42,420,235,0.5595238095238095,0.07105420784666067,0.5117178396214442,0.0019932568648190364,0.007380161314868432,True
25,2,49,765,436,0.5699346405228758,0.08146503884572692,0.5345875418092114,3.1797431242314284e-06,1.608248361257507e-05,True
25,2,54,1154,706,0.6117850953206239,0.123315493643475,0.5833401615909584,1.0634977202905813e-17,1.218802149285396e-16,True
25,2,58,730,471,0.6452054794520548,0.15673587777490589,0.6098197605437955,5.995173589044455e-18,6.981476340790479e-17,True
25,2,80,568,339,0.596830985915493,0.10836138423834413,0.5559695348782535,1.1817408583525233e-07,6.798541033709337e-07,True
25,2,82,1308,769,0.5879204892966361,0.09945088761948723,0.5610260130363598,1.5850598777074005e-13,1.374670548594286e-12,True
25,2,90,185,116,0.6270270270270271,0.1385574253498782,0.5554199527678166,0.00010019926329927485,0.00043911300820683726,True
25,2,97,646,347,0.5371517027863777,0.048682101109228826,0.49859427087911934,0.0070685339758162,0.024129936314606602,True
25,2,104,1031,643,0.623666343355965,0.13519674167881618,0.5936860395648416,7.550926179126852e-19,9.086281168882645e-18,True
25,2,125,860,553,0.6430232558139535,0.1545536541368046,0.6104307781887026,2.3322698313563172e-20,3.0756142798890615e-19,True
25,2,141,612,464,0.7581699346405228,0.269700332963374,0.7227022161412754,5.747960853425716e-43,1.865181005021738e-41,True
25,2,148,1292,974,0.7538699690402477,0.26540036736309885,0.7296516233424564,4.986087490820155e-87,4.3635820222692744e-85,True
25,2,150,110,71,0.6454545454545455,0.15698494377739663,0.5525323623689828,0.0006444835354603695,0.0025637306479470343,True
