layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
6,2,30,164,108,0.6585365853658537,0.17006698368870482,0.5830751067445152,7.98174466363069e-06,3.893797058879296e-05,True
6,2,32,177,127,0.7175141242937854,0.2290445226166365,0.647113384526507,4.732325109649356e-10,3.2853257011219565e-09,True
6,2,57,7287,3641,0.49965692328804723,0.01118732161089836,0.4881798725458894,0.01900787056761236,0.05960339869626981,False
6,2,70,140,17,0.12142857142857143,-0.3670410302485774,0.07721197100643955,1.0,1.0,False
6,2,74,183,93,0.5081967213114754,0.01972711963432655,0.4363425581426945,0.3223457057412622,0.7764256865561011,False
6,2,93,1262,219,0.1735340729001585,-0.3149355287769904,0.15363859033592883,1.0,1.0,False
6,2,107,240,116,0.48333333333333334,-0.005136268343815531,0.4208717888123311,0.5885473167270036,1.0,False
6,2,111,7465,4305,0.5766912257200268,0.08822162404287798,0.5654462484834306,5.723234999741424e-63,3.005218668955133e-61,True
6,2,113,3275,1456,0.4445801526717557,-0.043889449005393155,0.42763585063008486,0.9999999211274668,1.0,False
6,2,123,1122,411,0.3663101604278075,-0.12215944124934136,0.3386189996354082,1.0,1.0,False
6,2,127,106,49,0.46226415094339623,-0.026205450733752633,0.37033458798877916,0.737907447033723,1.0,False
6,2,133,106,19,0.1792452830188679,-0.30922431865828093,0.11786105495852324,0.9999999999930211,1.0,False
6,2,140,185,28,0.15135135135135136,-0.3371182503257975,0.1068373151033279,1.0,1.0,False
6,2,146,2479,1043,0.42073416700282373,-0.06773543467432513,0.4014375340489775,0.999999999998513,1.0,False
6,2,151,155,40,0.25806451612903225,-0.23040508554811662,0.19561574370323004,0.9999999987694498,1.0,False
6,2,156,2384,1134,0.47567114093959734,-0.012798460737551531,0.4556789682030736,0.9042133719455367,1.0,False
6,2,157,4756,2773,0.5830529857022708,0.09458338402512195,0.5689784997015787,1.1811966749717742e-43,4.0132894086099814e-42,True
6,2,180,203,70,0.3448275862068966,-0.1436420154702523,0.28286920350950584,0.9999873432313101,1.0,False
6,2,202,2579,1424,0.5521519968980225,0.06368239522087366,0.5328963371036228,1.5028515989961635e-11,1.1361872821730158e-10,True
6,2,215,105,15,0.14285714285714285,-0.345612458820006,0.08852402661833805,0.9999999999999856,1.0,False
6,2,229,3619,1792,0.4951644100580271,0.006694808380878214,0.47888853625476474,0.2052472194318736,0.5268719434889783,False
6,2,232,187,10,0.053475935828877004,-0.43499366584827187,0.02930285070461879,1.0,1.0,False
6,2,242,106,20,0.18867924528301888,-0.29979035639413,0.12559204496833837,0.9999999999684891,1.0,False
6,2,250,533,270,0.5065666041275797,0.018097002450430832,0.46422687561582415,0.21263057885396147,0.5424709467581632,False
6,2,253,1997,954,0.47771657486229346,-0.010753026814855404,0.45587222855068726,0.8428802207050454,1.0,False
